theta,phi,laser_speaker_distance,mirror_speaker_distance,mirror_height,delta_min,delta_max,coverage_min,coverage_max,min_mirror_length_1_max,min_mirror_length_2_max,max_opening_distance_min,delta_diff,coverage_diff
62.1,76.05,3.6,1.59,9.8,0.45,1.35,1.4,2.8,2.91,3.94,304.08,0.9,1.4
19.6,54.8,19.1,2.81,7.8,0.45,1.35,1.0,2.4,2.42,2.75,287.31,0.9,1.4
65.49,77.75,3.1,1.6,10.3,0.45,1.35,1.44,2.84,2.99,4.06,305.65,0.9,1.4
69.08,79.54,2.6,1.91,11.8,0.45,1.35,1.75,3.15,3.65,4.98,318.62,0.9,1.4
69.08,79.54,2.6,1.72,11.3,0.45,1.35,1.58,2.98,3.28,4.48,311.37,0.9,1.4
72.84,81.42,2.1,1.08,10.3,0.45,1.35,1.0,2.4,2.1,2.87,287.42,0.9,1.4
20.59,55.3,18.1,2.66,7.8,0.45,1.35,1.0,2.39,2.38,2.72,286.93,0.9,1.39
20.08,55.04,18.6,2.74,7.8,0.45,1.35,1.0,2.39,2.4,2.73,287.13,0.9,1.39
21.12,55.56,17.6,2.59,7.8,0.45,1.35,1.0,2.38,2.36,2.71,286.73,0.9,1.38
21.69,55.84,17.1,2.51,7.8,0.45,1.35,1.0,2.38,2.34,2.69,286.52,0.9,1.38
76.76,83.38,1.6,1.06,11.3,0.45,1.35,1.0,2.37,2.08,2.84,286.3,0.9,1.37
22.28,56.14,16.6,2.44,7.8,0.45,1.35,1.0,2.37,2.32,2.68,286.29,0.9,1.37
50.53,70.26,5.6,1.24,8.3,0.45,1.35,1.0,2.37,2.05,2.69,286.11,0.9,1.37
22.9,56.45,16.1,2.37,7.8,0.45,1.35,1.0,2.37,2.3,2.66,286.06,0.9,1.37
23.55,56.78,15.6,2.29,7.8,0.45,1.35,1.0,2.36,2.28,2.65,285.8,0.9,1.36
24.24,57.12,15.1,2.22,7.8,0.45,1.35,1.0,2.36,2.25,2.63,285.54,0.9,1.36
24.97,57.49,14.6,2.15,7.8,0.45,1.35,1.0,2.35,2.23,2.61,285.25,0.9,1.35
62.1,76.05,3.6,1.06,8.8,0.45,1.35,1.0,2.34,1.94,2.62,284.76,0.9,1.34
25.75,57.87,14.1,2.07,7.8,0.45,1.35,1.0,2.34,2.2,2.59,284.95,0.9,1.34
27.43,58.72,13.1,1.93,7.8,0.45,1.35,1.0,2.33,2.14,2.54,284.27,0.9,1.33
26.57,58.28,13.6,2.0,7.8,0.45,1.35,1.0,2.33,2.17,2.57,284.62,0.9,1.33
28.35,59.18,12.6,1.85,7.8,0.45,1.35,1.0,2.32,2.11,2.52,283.9,0.9,1.32
29.34,59.67,12.1,1.78,7.8,0.45,1.35,1.0,2.31,2.08,2.49,283.49,0.9,1.31
53.13,71.57,5.1,1.13,8.3,0.45,1.35,1.0,2.31,1.92,2.53,283.76,0.9,1.31
30.38,60.19,11.6,1.71,7.8,0.45,1.35,1.0,2.3,2.04,2.46,283.05,0.9,1.3
69.08,79.54,2.6,0.96,9.3,0.45,1.35,1.0,2.28,1.82,2.49,282.36,0.9,1.28
31.49,60.75,11.1,1.63,7.8,0.45,1.35,1.0,2.28,2.0,2.43,282.57,0.9,1.28
32.68,61.34,10.6,1.56,7.8,0.45,1.35,1.0,2.27,1.96,2.4,282.05,0.9,1.27
76.76,83.38,1.6,0.94,10.8,0.45,1.35,1.0,2.27,1.85,2.52,281.83,0.9,1.27
72.84,81.42,2.1,0.93,9.8,0.45,1.35,1.0,2.26,1.8,2.46,281.52,0.9,1.26
33.95,61.98,10.1,1.49,7.8,0.45,1.35,1.0,2.26,1.92,2.36,281.48,0.9,1.26
55.92,72.96,4.6,1.01,8.3,0.45,1.35,1.0,2.25,1.77,2.36,281.15,0.9,1.25
35.31,62.66,9.6,1.41,7.8,0.45,1.35,1.0,2.24,1.88,2.32,280.85,0.9,1.24
36.77,63.38,9.1,1.34,7.8,0.45,1.35,1.0,2.23,1.83,2.27,280.16,0.9,1.23
65.49,77.75,3.1,0.91,8.8,0.45,1.35,1.0,2.23,1.71,2.32,280.14,0.9,1.23
38.33,64.17,8.6,1.26,7.8,0.45,1.35,1.0,2.21,1.77,2.22,279.4,0.9,1.21
80.81,85.41,1.1,0.89,12.3,0.45,1.35,1.0,2.19,1.77,2.38,278.65,0.9,1.19
40.01,65.01,8.1,1.19,7.8,0.45,1.35,1.0,2.19,1.72,2.17,278.56,0.9,1.19
58.91,74.46,4.1,0.9,8.3,0.45,1.35,1.0,2.18,1.62,2.18,278.27,0.9,1.18
41.82,65.91,7.6,1.12,7.8,0.45,1.35,1.0,2.16,1.66,2.11,277.64,0.9,1.16
76.76,83.38,1.6,0.82,10.3,0.45,1.35,1.0,2.16,1.62,2.21,277.37,0.9,1.16
43.76,66.88,7.1,1.04,7.8,0.45,1.35,1.0,2.14,1.59,2.04,276.61,0.9,1.14
72.84,81.42,2.1,0.77,9.3,0.45,1.35,1.0,2.12,1.5,2.05,275.62,0.9,1.12
80.81,85.41,1.1,0.81,11.8,0.45,1.35,1.0,2.12,1.61,2.16,275.69,0.9,1.12
45.86,67.93,6.6,0.97,7.8,0.45,1.35,1.0,2.11,1.52,1.97,275.46,0.9,1.11
62.1,76.05,3.6,0.79,8.3,0.45,1.35,1.0,2.1,1.46,1.97,275.1,0.9,1.1
69.08,79.54,2.6,0.76,8.8,0.45,1.35,1.0,2.1,1.46,1.99,275.11,0.9,1.1
48.11,69.05,6.1,0.9,7.8,0.45,1.35,1.0,2.08,1.45,1.88,274.19,0.9,1.08
80.81,85.41,1.1,0.73,11.3,0.45,1.35,1.0,2.05,1.44,1.95,272.73,0.9,1.05
50.53,70.26,5.6,0.82,7.8,0.45,1.35,1.0,2.05,1.37,1.79,272.78,0.9,1.05
76.76,83.38,1.6,0.71,9.8,0.45,1.35,1.0,2.05,1.39,1.89,272.9,0.9,1.05
65.49,77.75,3.1,0.68,8.3,0.45,1.35,1.0,2.02,1.28,1.74,271.63,0.9,1.02
53.13,71.57,5.1,0.75,7.8,0.45,1.35,1.0,2.01,1.28,1.69,271.21,0.9,1.01
80.81,85.41,1.1,0.65,10.8,0.45,1.35,1.0,1.98,1.28,1.73,269.78,0.9,0.98
72.84,81.42,2.1,0.62,8.8,0.45,1.35,1.0,1.97,1.2,1.64,269.72,0.9,0.97
55.92,72.96,4.6,0.68,7.8,0.45,1.35,1.0,1.97,1.18,1.58,269.47,0.9,0.97
76.76,83.38,1.6,0.59,9.3,0.45,1.35,1.0,1.94,1.16,1.58,268.44,0.9,0.94
69.08,79.54,2.6,0.57,8.3,0.45,1.35,1.0,1.93,1.09,1.49,267.86,0.9,0.93
80.81,85.41,1.1,0.57,10.3,0.45,1.35,1.0,1.9,1.12,1.51,266.82,0.9,0.9
