Score,Freq1,Freq2,PhaseRad,Amp1,Amp2
1.0,90.0,90.0,1.3962634015954636,1.0,1.0
1.0,90.0,90.0,1.4835298641951802,1.0,1.0
1.0,90.0,90.0,1.5707963267948966,1.0,1.0
1.0,90.0,90.5,1.3962634015954636,1.0,1.0
1.0,90.0,90.5,1.4835298641951802,1.0,1.0
1.0,94.5,95.5,1.3962634015954636,1.0,1.0
1.0,94.5,95.5,1.4835298641951802,1.0,1.0
1.0,94.5,95.5,1.5707963267948966,1.0,1.0
1.0,94.5,95.5,1.6580627893946132,1.0,1.0
1.0,94.5,95.5,1.7453292519943295,1.0,1.0
